Wall time,Step,Value
1551626515.8865225,10559,35.375
1551626756.166938,10599,26.375
1551626876.4870358,10619,31.0
1551626996.8152442,10639,23.25
1551627116.5218418,10659,21.5
1551627236.2731504,10679,24.875
1551627355.9869576,10698,48.25
1551627476.1291192,10718,42.125
1551627596.536896,10738,31.25
1551627715.4926648,10758,22.75
1551627835.8311536,10778,32.5
1551627955.8519077,10798,28.125
1551628076.140513,10818,35.125
1551628196.505875,10838,32.375
1551628316.7808003,10858,28.75
1551628436.5990338,10878,31.0
1551628556.5037594,10898,20.75
1551628676.5106587,10918,25.875
1551628916.1850328,10957,31.625
1551629035.9078708,10977,21.125
1551629156.3815386,10997,34.75
1551629396.2520268,11037,38.0
1551629515.7662835,11057,32.5
1551629635.5939367,11077,27.125
1551629755.588249,11097,26.0
1551629875.73147,11117,32.125
1551629996.1705005,11137,41.75
1551630116.1843898,11157,32.375
1551630356.2797675,11197,27.375
1551630476.3901095,11217,23.5
1551630596.7841418,11237,29.75
1551630716.2869709,11257,24.5
1551630836.4856648,11277,39.375
1551630956.4815567,11297,28.0
1551631076.4721663,11317,24.875
1551631196.6371233,11337,29.125
1551631316.4376256,11357,24.75
1551631436.043043,11376,25.25
1551631555.7132602,11396,24.25
1551631675.6886506,11416,28.0
1551631915.769318,11456,35.875
1551632035.8556423,11476,35.75
1551632156.0552433,11496,27.75
1551632276.1046224,11516,33.75
1551632396.5384,11536,29.875
1551632516.4180298,11556,32.25
1551632636.6098871,11576,30.75
1551632756.499093,11596,33.75
1551632876.262156,11616,32.875
1551632996.6385608,11636,33.875
1551633115.99027,11655,36.125
1551633236.168154,11675,28.875
1551633356.025851,11695,19.375
1551633475.8370457,11715,35.625
1551633715.6282468,11755,27.75
1551633835.6280935,11775,22.375
1551633955.7272456,11795,16.75
1551634196.5030847,11835,29.5
1551634316.3380995,11855,26.5
1551634436.1459727,11875,33.375
1551634556.3921711,11895,17.625
1551634796.4126012,11935,26.25
1551634916.6791716,11955,28.75
1551635036.392366,11975,40.5
1551635156.5574152,11995,26.25
1551635276.3841407,12015,28.625
1551635396.5387685,12035,31.25
1551635516.2226996,12055,35.25
1551635755.959915,12094,42.5
